provider,from_currency,from_country,from_flag,to_currency,send_amount,exchange_rate,fee,net_send_amount,receive_amount,transfer_speed,delivery_method,timestamp,source,status
Wise,AUD,Australia,🇦🇺,NPR,1000.0,107.15,0.0,1000.0,107150.0,1-2 business days,Bank transfer,2026-06-15T20:59:10+00:00,api,ok
Wise,USD,United States,🇺🇸,NPR,1000.0,151.545,0.0,1000.0,151545.0,1-2 business days,Bank transfer,2026-06-15T20:59:10+00:00,api,ok
Wise,GBP,United Kingdom,🇬🇧,NPR,1000.0,203.252,0.0,1000.0,203252.0,1-2 business days,Bank transfer,2026-06-15T20:59:10+00:00,api,ok
Wise,CAD,Canada,🇨🇦,NPR,1000.0,108.32,0.0,1000.0,108320.0,1-2 business days,Bank transfer,2026-06-15T20:59:11+00:00,api,ok
Wise,NZD,New Zealand,🇳🇿,NPR,1000.0,88.2295,0.0,1000.0,88229.5,1-2 business days,Bank transfer,2026-06-15T20:59:11+00:00,api,ok
Wise,EUR,Eurozone,🇪🇺,NPR,1000.0,175.633,0.0,1000.0,175633.0,1-2 business days,Bank transfer,2026-06-15T20:59:11+00:00,api,ok
Wise,AED,United Arab Emirates,🇦🇪,NPR,1000.0,41.2581,0.0,1000.0,41258.1,1-2 business days,Bank transfer,2026-06-15T20:59:11+00:00,api,ok
Wise,SAR,Saudi Arabia,🇸🇦,NPR,1000.0,40.3851,0.0,1000.0,40385.1,1-2 business days,Bank transfer,2026-06-15T20:59:11+00:00,api,ok
Wise,SGD,Singapore,🇸🇬,NPR,1000.0,118.122,0.0,1000.0,118122.0,1-2 business days,Bank transfer,2026-06-15T20:59:12+00:00,api,ok
Wise,QAR,Qatar,🇶🇦,NPR,1000.0,41.5676,0.0,1000.0,41567.6,1-2 business days,Bank transfer,2026-06-15T20:59:12+00:00,api,ok
Wise,KWD,Kuwait,🇰🇼,NPR,1000.0,493.712,0.0,1000.0,493712.0,1-2 business days,Bank transfer,2026-06-15T20:59:12+00:00,api,ok
Wise,BHD,Bahrain,🇧🇭,NPR,1000.0,401.923,0.0,1000.0,401923.0,1-2 business days,Bank transfer,2026-06-15T20:59:12+00:00,api,ok
Wise,OMR,Oman,🇴🇲,NPR,1000.0,393.628,0.0,1000.0,393628.0,1-2 business days,Bank transfer,2026-06-15T20:59:12+00:00,api,ok
Wise,MYR,Malaysia,🇲🇾,NPR,1000.0,37.407,0.0,1000.0,37407.0,1-2 business days,Bank transfer,2026-06-15T20:59:13+00:00,api,ok
Wise,JPY,Japan,🇯🇵,NPR,1000.0,0.945059,0.0,1000.0,945.06,1-2 business days,Bank transfer,2026-06-15T20:59:13+00:00,api,ok
Wise,KRW,South Korea,🇰🇷,NPR,1000.0,0.100155,0.0,1000.0,100.16,1-2 business days,Bank transfer,2026-06-15T20:59:13+00:00,api,ok
Wise,HKD,Hong Kong,🇭🇰,NPR,1000.0,19.3425,0.0,1000.0,19342.5,1-2 business days,Bank transfer,2026-06-15T20:59:13+00:00,api,ok
Wise,INR,India,🇮🇳,NPR,1000.0,1.60223,0.0,1000.0,1602.23,1-2 business days,Bank transfer,2026-06-15T20:59:13+00:00,api,ok
Wise,ILS,Israel,🇮🇱,NPR,1000.0,52.0988,0.0,1000.0,52098.8,1-2 business days,Bank transfer,2026-06-15T20:59:13+00:00,api,ok
Wise,CHF,Switzerland,🇨🇭,NPR,1000.0,190.695,0.0,1000.0,190695.0,1-2 business days,Bank transfer,2026-06-15T20:59:14+00:00,api,ok
Wise,NOK,Norway,🇳🇴,NPR,1000.0,15.8849,0.0,1000.0,15884.9,1-2 business days,Bank transfer,2026-06-15T20:59:14+00:00,api,ok
Wise,SEK,Sweden,🇸🇪,NPR,1000.0,16.1167,0.0,1000.0,16116.7,1-2 business days,Bank transfer,2026-06-15T20:59:14+00:00,api,ok
Wise,DKK,Denmark,🇩🇰,NPR,1000.0,23.4976,0.0,1000.0,23497.6,1-2 business days,Bank transfer,2026-06-15T20:59:14+00:00,api,ok
Wise,THB,Thailand,🇹🇭,NPR,1000.0,4.65183,0.0,1000.0,4651.83,1-2 business days,Bank transfer,2026-06-15T20:59:14+00:00,api,ok
ExchangeRate-API,AED,United Arab Emirates,🇦🇪,NPR,1000.0,41.4632,0.0,1000.0,41463.2,Mid-market,Reference rate,2026-06-15T20:59:10+00:00,api,ok
ExchangeRate-API,AUD,Australia,🇦🇺,NPR,1000.0,107.4842,0.0,1000.0,107484.2,Mid-market,Reference rate,2026-06-15T20:59:10+00:00,api,ok
ExchangeRate-API,BHD,Bahrain,🇧🇭,NPR,1000.0,404.9833,0.0,1000.0,404983.3,Mid-market,Reference rate,2026-06-15T20:59:10+00:00,api,ok
ExchangeRate-API,CAD,Canada,🇨🇦,NPR,1000.0,108.8223,0.0,1000.0,108822.3,Mid-market,Reference rate,2026-06-15T20:59:11+00:00,api,ok
ExchangeRate-API,CHF,Switzerland,🇨🇭,NPR,1000.0,191.3556,0.0,1000.0,191355.6,Mid-market,Reference rate,2026-06-15T20:59:11+00:00,api,ok
ExchangeRate-API,DKK,Denmark,🇩🇰,NPR,1000.0,23.6438,0.0,1000.0,23643.8,Mid-market,Reference rate,2026-06-15T20:59:11+00:00,api,ok
ExchangeRate-API,EUR,Eurozone,🇪🇺,NPR,1000.0,176.3591,0.0,1000.0,176359.1,Mid-market,Reference rate,2026-06-15T20:59:11+00:00,api,ok
ExchangeRate-API,GBP,United Kingdom,🇬🇧,NPR,1000.0,203.8753,0.0,1000.0,203875.3,Mid-market,Reference rate,2026-06-15T20:59:11+00:00,api,ok
ExchangeRate-API,HKD,Hong Kong,🇭🇰,NPR,1000.0,19.4101,0.0,1000.0,19410.1,Mid-market,Reference rate,2026-06-15T20:59:12+00:00,api,ok
ExchangeRate-API,ILS,Israel,🇮🇱,NPR,1000.0,52.173,0.0,1000.0,52173.0,Mid-market,Reference rate,2026-06-15T20:59:12+00:00,api,ok
ExchangeRate-API,INR,India,🇮🇳,NPR,1000.0,1.6,0.0,1000.0,1600.0,Mid-market,Reference rate,2026-06-15T20:59:12+00:00,api,ok
ExchangeRate-API,JPY,Japan,🇯🇵,NPR,1000.0,0.9502,0.0,1000.0,950.2,Mid-market,Reference rate,2026-06-15T20:59:12+00:00,api,ok
ExchangeRate-API,KRW,South Korea,🇰🇷,NPR,1000.0,0.1003,0.0,1000.0,100.3,Mid-market,Reference rate,2026-06-15T20:59:12+00:00,api,ok
ExchangeRate-API,KWD,Kuwait,🇰🇼,NPR,1000.0,493.7861,0.0,1000.0,493786.1,Mid-market,Reference rate,2026-06-15T20:59:12+00:00,api,ok
ExchangeRate-API,MYR,Malaysia,🇲🇾,NPR,1000.0,37.5071,0.0,1000.0,37507.1,Mid-market,Reference rate,2026-06-15T20:59:12+00:00,api,ok
ExchangeRate-API,NOK,Norway,🇳🇴,NPR,1000.0,15.9998,0.0,1000.0,15999.8,Mid-market,Reference rate,2026-06-15T20:59:13+00:00,api,ok
ExchangeRate-API,NZD,New Zealand,🇳🇿,NPR,1000.0,88.9968,0.0,1000.0,88996.8,Mid-market,Reference rate,2026-06-15T20:59:13+00:00,api,ok
ExchangeRate-API,OMR,Oman,🇴🇲,NPR,1000.0,396.0336,0.0,1000.0,396033.6,Mid-market,Reference rate,2026-06-15T20:59:13+00:00,api,ok
ExchangeRate-API,QAR,Qatar,🇶🇦,NPR,1000.0,41.8334,0.0,1000.0,41833.4,Mid-market,Reference rate,2026-06-15T20:59:13+00:00,api,ok
ExchangeRate-API,SAR,Saudi Arabia,🇸🇦,NPR,1000.0,40.6063,0.0,1000.0,40606.3,Mid-market,Reference rate,2026-06-15T20:59:13+00:00,api,ok
ExchangeRate-API,SEK,Sweden,🇸🇪,NPR,1000.0,16.1075,0.0,1000.0,16107.5,Mid-market,Reference rate,2026-06-15T20:59:14+00:00,api,ok
ExchangeRate-API,SGD,Singapore,🇸🇬,NPR,1000.0,118.6326,0.0,1000.0,118632.6,Mid-market,Reference rate,2026-06-15T20:59:14+00:00,api,ok
ExchangeRate-API,THB,Thailand,🇹🇭,NPR,1000.0,4.6574,0.0,1000.0,4657.4,Mid-market,Reference rate,2026-06-15T20:59:14+00:00,api,ok
ExchangeRate-API,USD,United States,🇺🇸,NPR,1000.0,152.2737,0.0,1000.0,152273.7,Mid-market,Reference rate,2026-06-15T20:59:14+00:00,api,ok
Remitly,AUD,Australia,🇦🇺,NPR,1000.0,108.26,0.99,999.01,108260.0,Minutes to 3 business days,Bank deposit / Cash pickup,2026-06-15T20:59:15+00:00,scraper,ok
Remitly,USD,United States,🇺🇸,NPR,1000.0,150.85,3.99,996.01,150850.0,Minutes to 3 business days,Bank deposit / Cash pickup,2026-06-15T20:59:16+00:00,scraper,ok
Remitly,GBP,United Kingdom,🇬🇧,NPR,1000.0,202.43,3.99,996.01,202330.0,Minutes to 3 business days,Bank deposit / Cash pickup,2026-06-15T20:59:16+00:00,scraper,ok
Remitly,CAD,Canada,🇨🇦,NPR,1000.0,108.61,3.99,996.01,108610.0,Minutes to 3 business days,Bank deposit / Cash pickup,2026-06-15T20:59:17+00:00,scraper,ok
Remitly,NZD,New Zealand,🇳🇿,NPR,1000.0,90.35,2.99,997.01,90350.0,Minutes to 3 business days,Bank deposit / Cash pickup,2026-06-15T20:59:18+00:00,scraper,ok
Remitly,EUR,Eurozone,🇪🇺,NPR,1000.0,175.24,1.99,998.01,175240.0,Minutes to 3 business days,Bank deposit / Cash pickup,2026-06-15T20:59:19+00:00,scraper,ok
Remitly,AED,United Arab Emirates,🇦🇪,NPR,1000.0,41.46,5.0,995.0,41460.0,Minutes to 3 business days,Bank deposit / Cash pickup,2026-06-15T20:59:19+00:00,scraper,ok
WorldRemit,AUD,Australia,🇦🇺,NPR,1000.0,108.604,0.0,1000.0,108604.0,Minutes to 1 day,Bank transfer,2026-06-15T20:59:20+00:00,scraper,ok
WorldRemit,USD,United States,🇺🇸,NPR,1000.0,149.6254,0.99,999.01,149625.0,Minutes to 1 day,Bank transfer,2026-06-15T20:59:21+00:00,scraper,ok
WorldRemit,GBP,United Kingdom,🇬🇧,NPR,1000.0,201.5973,0.99,999.01,201597.0,Minutes to 1 day,Bank transfer,2026-06-15T20:59:22+00:00,scraper,ok
WorldRemit,CAD,Canada,🇨🇦,NPR,1000.0,0.0,0.0,0.0,0.0,,,2026-06-15T20:59:22+00:00,scraper,error
WorldRemit,NZD,New Zealand,🇳🇿,NPR,1000.0,85.363,2.99,997.01,85363.0,Minutes to 1 day,Bank transfer,2026-06-15T20:59:23+00:00,scraper,ok
WorldRemit,EUR,Eurozone,🇪🇺,NPR,1000.0,172.9564,1.99,998.01,172956.0,Minutes to 1 day,Bank transfer,2026-06-15T20:59:24+00:00,scraper,ok
Instarem,AUD,Australia,🇦🇺,NPR,1000.0,107.1085,95.0,905.0,96933.19,Same day - 2 days,Bank transfer,2026-06-15T20:59:25+00:00,scraper,ok
Instarem,SGD,Singapore,🇸🇬,NPR,1000.0,118.0862,95.0,905.0,106868.01,Same day - 2 days,Bank transfer,2026-06-15T20:59:26+00:00,scraper,ok
Instarem,GBP,United Kingdom,🇬🇧,NPR,1000.0,203.2454,0.0,1000.0,203245.4,Same day - 2 days,Bank transfer,2026-06-15T20:59:27+00:00,scraper,ok
Western Union,AUD,Australia,🇦🇺,NPR,1000.0,108.31987,0.0,1000.0,108319.87,Minutes to days,Bank / Cash pickup / Mobile wallet,2026-06-15T20:59:46+00:00,scraper,ok
Western Union,USD,United States,🇺🇸,NPR,1000.0,0.0,0.0,0.0,0.0,,,2026-06-15T20:59:46+00:00,scraper,error
Western Union,GBP,United Kingdom,🇬🇧,NPR,1000.0,0.0,0.0,0.0,0.0,,,2026-06-15T20:59:46+00:00,scraper,error
Western Union,CAD,Canada,🇨🇦,NPR,1000.0,0.0,0.0,0.0,0.0,,,2026-06-15T20:59:46+00:00,scraper,error
Western Union,NZD,New Zealand,🇳🇿,NPR,1000.0,0.0,0.0,0.0,0.0,,,2026-06-15T20:59:46+00:00,scraper,error
Western Union,SAR,Saudi Arabia,🇸🇦,NPR,1000.0,0.0,0.0,0.0,0.0,,,2026-06-15T20:59:46+00:00,scraper,error
Western Union,AED,United Arab Emirates,🇦🇪,NPR,1000.0,0.0,0.0,0.0,0.0,,,2026-06-15T20:59:46+00:00,scraper,error
Xe Money Transfer,AUD,Australia,🇦🇺,NPR,1000.0,107.01307701,0.0,1000.0,107013.08,1-4 business days,Bank transfer,2026-06-15T20:59:53+00:00,scraper,ok
Xe Money Transfer,USD,United States,🇺🇸,NPR,1000.0,151.35098092,0.0,1000.0,151350.98,1-4 business days,Bank transfer,2026-06-15T21:00:00+00:00,scraper,ok
Xe Money Transfer,GBP,United Kingdom,🇬🇧,NPR,1000.0,203.00233755,0.0,1000.0,203002.34,1-4 business days,Bank transfer,2026-06-15T21:00:06+00:00,scraper,ok
Xe Money Transfer,CAD,Canada,🇨🇦,NPR,1000.0,108.17704183,0.0,1000.0,108177.04,1-4 business days,Bank transfer,2026-06-15T21:00:13+00:00,scraper,ok
Xe Money Transfer,NZD,New Zealand,🇳🇿,NPR,1000.0,88.11452286,0.0,1000.0,88114.52,1-4 business days,Bank transfer,2026-06-15T21:00:19+00:00,scraper,ok
Xoom,USD,United States,🇺🇸,NPR,1000.0,0.0,0.0,0.0,0.0,,,2026-06-15T21:00:19+00:00,scraper,error
Xoom,GBP,United Kingdom,🇬🇧,NPR,1000.0,0.0,0.0,0.0,0.0,,,2026-06-15T21:00:19+00:00,scraper,error
Xoom,CAD,Canada,🇨🇦,NPR,1000.0,0.0,0.0,0.0,0.0,,,2026-06-15T21:00:19+00:00,scraper,error
Xoom,EUR,Eurozone,🇪🇺,NPR,1000.0,0.0,0.0,0.0,0.0,,,2026-06-15T21:00:19+00:00,scraper,error
MoneyGram,AUD,Australia,🇦🇺,NPR,1000.0,0.0,0.0,0.0,0.0,,,2026-06-15T21:00:19+00:00,scraper,error
MoneyGram,USD,United States,🇺🇸,NPR,1000.0,0.0,0.0,0.0,0.0,,,2026-06-15T21:00:19+00:00,scraper,error
MoneyGram,GBP,United Kingdom,🇬🇧,NPR,1000.0,0.0,0.0,0.0,0.0,,,2026-06-15T21:00:19+00:00,scraper,error
MoneyGram,CAD,Canada,🇨🇦,NPR,1000.0,0.0,0.0,0.0,0.0,,,2026-06-15T21:00:19+00:00,scraper,error
OFX,AUD,Australia,🇦🇺,NPR,1000.0,0.0,0.0,0.0,0.0,,,2026-06-15T21:00:19+00:00,scraper,error
